R_kodu,Soru,Model,Eslesme_guveni
R001,9,googlegemma-3-12b,1.0
R002,3,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R003,5,mistralaiministral-3-3b-reasoning,1.0
R004,9,googlefunctiongemma-270m,1.0
R005,2,googlefunctiongemma-270m,1.0
R006,1,googlefunctiongemma-270m,1.0
R007,8,meta-llama-3.1-8b-instruct,1.0
R008,4,deepseekdeepseek-r1-distill-qwen-32b,1.0
R009,6,zai-orgglm-4.7-flash,1.0
R010,4,mistralaiministral-3-3b-reasoning,1.0
R011,10,mistralaiministral-3-8b-reasoning,1.0
R012,7,mistralaiministral-3-8b-reasoning,1.0
R013,2,googlegemma-3-12b,1.0
R014,4,googlegemma-3-4b,1.0
R015,6,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R016,3,googlegemma-3-12b,1.0
R017,10,mistralaiministral-3-3b-reasoning,1.0
R018,5,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R019,10,googlegemma-3-1b,1.0
R020,6,mistralaiministral-3-3b-reasoning,1.0
R021,9,meta-llama-3.1-8b-instruct,1.0
R022,1,mistralaiministral-3-14b-reasoning,1.0
R023,5,meta-llama-3.1-8b-instruct,1.0
R024,4,deepseekdeepseek-r1-distill-qwen-14b,1.0
R025,1,mistralaiministral-3-3b-reasoning,1.0
R026,6,deepseekdeepseek-r1-distill-qwen-14b,1.0
R027,6,deepseekdeepseek-r1-distill-qwen-32b,1.0
R028,7,googlegemma-3-4b,1.0
R029,2,deepseekdeepseek-r1-distill-qwen-32b,1.0
R030,3,googlegemma-3-270m,1.0
R031,8,deepseekdeepseek-r1-distill-qwen-14b,1.0
R032,10,deepseekdeepseek-r1-distill-qwen-14b,1.0
R033,3,googlefunctiongemma-270m,1.0
R034,8,googlegemma-3-270m,1.0
R035,6,googlegemma-3-12b,1.0
R036,7,googlefunctiongemma-270m,1.0
R037,8,deepseekdeepseek-r1-0528-qwen3-8b,1.0
R038,2,meta-llama-3.1-8b-instruct,1.0
R039,5,mistralaiministral-3-14b-reasoning,1.0
R040,1,mistralaiministral-3-8b-reasoning,1.0
R041,8,mistralaiministral-3-3b-reasoning,1.0
R042,5,googlefunctiongemma-270m,1.0
R043,4,zai-orgglm-4.7-flash,1.0
R044,7,deepseekdeepseek-r1-0528-qwen3-8b,1.0
