R,Soru,Model,K1,K2,K3,Toplam,K1_kaynak,K2_kaynak,K3_kaynak
R001,9,googlegemma-3-12b,1,0,0,1,uyum,uyum,uyum
R002,3,deepseekdeepseek-r1-0528-qwen3-8b,0,0,0,0,uyum,uzlaşı,uzlaşı
R003,5,mistralaiministral-3-3b-reasoning,0,0,0,0,uyum,uyum,uyum
R004,9,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R005,2,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R006,1,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R007,8,meta-llama-3.1-8b-instruct,0,1,1,2,uyum,uyum,uyum
R008,4,deepseekdeepseek-r1-distill-qwen-32b,3,2,2,7,uyum,uzlaşı,uzlaşı
R009,6,zai-orgglm-4.7-flash,4,3,3,10,uyum,uyum,uyum
R010,4,mistralaiministral-3-3b-reasoning,0,0,0,0,uzlaşı,uyum,uyum
R011,10,mistralaiministral-3-8b-reasoning,1,0,1,2,uyum,uyum,uyum
R012,7,mistralaiministral-3-8b-reasoning,2,1,1,4,uyum,uzlaşı,uyum
R013,2,googlegemma-3-12b,4,3,3,10,uyum,uyum,uyum
R014,4,googlegemma-3-4b,2,1,2,5,uzlaşı,uzlaşı,uzlaşı
R015,6,deepseekdeepseek-r1-0528-qwen3-8b,0,0,0,0,uyum,uyum,uyum
R016,3,googlegemma-3-12b,1,1,2,4,uyum,uyum,uzlaşı
R017,10,mistralaiministral-3-3b-reasoning,1,0,1,2,uyum,uyum,uyum
R018,5,deepseekdeepseek-r1-0528-qwen3-8b,3,1,2,6,uyum,uyum,uyum
R019,10,googlegemma-3-1b,0,0,1,1,uyum,uyum,uyum
R020,6,mistralaiministral-3-3b-reasoning,0,0,0,0,uyum,uyum,uyum
R021,9,meta-llama-3.1-8b-instruct,2,2,2,6,uyum,uzlaşı,uyum
R022,1,mistralaiministral-3-14b-reasoning,0,0,1,1,uzlaşı,uzlaşı,uyum
R023,5,meta-llama-3.1-8b-instruct,3,2,2,7,uyum,uyum,uyum
R024,4,deepseekdeepseek-r1-distill-qwen-14b,0,0,0,0,uyum,uyum,uyum
R025,1,mistralaiministral-3-3b-reasoning,0,0,0,0,uyum,uyum,uyum
R026,6,deepseekdeepseek-r1-distill-qwen-14b,1,0,0,1,uyum,uyum,uyum
R027,6,deepseekdeepseek-r1-distill-qwen-32b,4,3,3,10,uzlaşı,uyum,uzlaşı
R028,7,googlegemma-3-4b,3,1,2,6,uyum,uzlaşı,uyum
R029,2,deepseekdeepseek-r1-distill-qwen-32b,3,3,2,8,uyum,uyum,uyum
R030,3,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R031,8,deepseekdeepseek-r1-distill-qwen-14b,0,1,1,2,uyum,uyum,uyum
R032,10,deepseekdeepseek-r1-distill-qwen-14b,3,3,2,8,uyum,uyum,uzlaşı
R033,3,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R034,8,googlegemma-3-270m,0,0,1,1,uyum,uyum,uyum
R035,6,googlegemma-3-12b,4,3,3,10,uyum,uyum,uyum
R036,7,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R037,8,deepseekdeepseek-r1-0528-qwen3-8b,2,1,1,4,uyum,uyum,uyum
R038,2,meta-llama-3.1-8b-instruct,3,3,2,8,uzlaşı,uyum,uzlaşı
R039,5,mistralaiministral-3-14b-reasoning,4,0,2,6,uyum,uyum,uyum
R040,1,mistralaiministral-3-8b-reasoning,1,0,0,1,uyum,uyum,uyum
R041,8,mistralaiministral-3-3b-reasoning,0,0,1,1,uyum,uyum,uyum
R042,5,googlefunctiongemma-270m,0,0,0,0,uyum,uyum,uyum
R043,4,zai-orgglm-4.7-flash,2,0,2,4,uyum,uzlaşı,uyum
R044,7,deepseekdeepseek-r1-0528-qwen3-8b,0,0,0,0,uzlaşı,uyum,uyum
R045,10,googlegemma-3-12b,2,1,3,6,uyum,uzlaşı,uzlaşı
R046,2,googlegemma-3-4b,3,3,3,9,uyum,uyum,uzlaşı
R047,10,meta-llama-3.1-8b-instruct,1,0,2,3,uzlaşı,uzlaşı,uyum
R048,9,mistralaiministral-3-3b-reasoning,1,1,1,3,uyum,uyum,uyum
R049,9,deepseekdeepseek-r1-0528-qwen3-8b,0,0,0,0,uyum,uyum,uyum
R050,7,googlegemma-3-1b,2,1,2,5,uyum,uyum,uyum
R051,5,googlegemma-3-27b,4,3,3,10,uyum,uyum,uyum
R052,9,mistralaiministral-3-8b-reasoning,2,1,2,5,uyum,uyum,uyum
R053,5,zai-orgglm-4.7-flash,4,3,3,10,uyum,uyum,uyum
R054,7,googlegemma-3-27b,2,1,1,4,uyum,uyum,uzlaşı
R055,9,googlegemma-3-270m,0,0,0,0,uyum,uyum,uyum
R056,2,mistralaiministral-3-14b-reasoning,2,2,1,5,uyum,uyum,uyum
R057,6,mistralaiministral-3-8b-reasoning,0,0,0,0,uyum,uyum,uyum
R058,10,googlegemma-3-4b,0,0,2,2,uzlaşı,uzlaşı,uyum
R059,4,mistralaiministral-3-14b-reasoning,4,3,3,10,uyum,uyum,uyum
